perf_id,campaign_id,inf_id,post_date,post_url,actual_cost,impressions,clicks,conversions,revenue,genai_comment_summary
42,DALBA-CAMP-25004,jeonghungim_195,2025-02-13,https://instagram.com/p/Xc)1Gy1v3De,2911195,137082,3756,25,855275,긍정 94%.
43,DALBA-CAMP-25007,jihungim_51,2025-08-23,https://instagram.com/p/ob!B0LytI&w,4914927,300823,9163,233,13139802,긍정 89%.
44,DALBA-CAMP-25011,sangho17_163,2025-03-26,https://instagram.com/p/8X)9OAv$4@L,860573,62112,779,9,292446,긍정 85%.
45,DALBA-CAMP-25016,amin_73,2025-08-31,https://instagram.com/p/4l0C%qFil^9,3360327,112552,4343,108,4085748,긍정 78%.
46,DALBA-CAMP-25010,jeonghunbag_178,2025-04-07,https://instagram.com/p/HN)+7DHmG#F,859438,46266,1360,29,1383648,긍정 92%.
47,DALBA-CAMP-25001,yi_84,2025-08-29,https://instagram.com/p/d1@!JnBx+L*,2137989,62363,1919,12,672408,긍정 95%.
48,DALBA-CAMP-25009,eunjuseong_125,2025-06-01,https://instagram.com/p/t&DvbO8FK*8,2114501,94291,1582,30,1340670,긍정 81%.
49,DALBA-CAMP-25014,yeongho97_26,2025-09-13,https://instagram.com/p/)An%D3ltoT6,1882413,50229,576,9,516411,긍정 94%.
50,DALBA-CAMP-25016,cnam_13,2025-08-17,https://instagram.com/p/kJ5C53Kb3o@,3232977,269323,4837,145,4472090,긍정 84%.
51,DALBA-CAMP-25011,eheo_130,2025-03-28,https://instagram.com/p/K*hk3Eip7dE,1278162,52357,1878,26,922324,긍정 83%.
52,DALBA-CAMP-25003,minjae24_98,2025-06-14,https://instagram.com/p/+xJJoERIg7V,1921825,44414,773,18,865080,긍정 78%.
53,DALBA-CAMP-25013,li_100,2025-01-18,https://instagram.com/p/!!7JjPmMO_8,4448023,112432,3070,45,2277405,긍정 75%.
54,DALBA-CAMP-25007,byeongceol57_27,2025-08-03,https://instagram.com/p/#Zy7QNu8&G^,1483227,126206,1320,13,506363,긍정 76%.
55,DALBA-CAMP-25006,mo_72,2025-11-22,https://instagram.com/p/h^A0gHkf!4#,520628,18278,742,20,954460,긍정 94%.
56,DALBA-CAMP-25019,bagseonghun_31,2025-09-05,https://instagram.com/p/m_wKm9q$@#9,3317337,158624,5395,86,3460038,긍정 95%.
57,DALBA-CAMP-25019,jihyebag_152,2025-09-05,https://instagram.com/p/o(5D*NTh+k5,481898,5334,247,6,213750,긍정 92%.
58,DALBA-CAMP-25012,jiagim_48,2025-08-09,https://instagram.com/p/@2ICf+HtMRw,1615684,83680,2737,72,3324672,긍정 72%.
59,DALBA-CAMP-25003,seonyeonggim_161,2025-07-08,https://instagram.com/p/s9yB#oAv$Tg,464829,6062,166,4,193276,긍정 82%.
60,DALBA-CAMP-25013,sumin73_185,2025-01-20,https://instagram.com/p/#r3#cpW8w+K,2128648,70716,2630,42,1722462,긍정 78%.
61,DALBA-CAMP-25016,seungmin39_156,2025-09-15,https://instagram.com/p/u$D6xffq&0K,2075458,23588,854,17,904043,긍정 82%.
62,DALBA-CAMP-25005,bagbyeongceol_169,2025-08-22,https://instagram.com/p/_#POVar@B3D,2916089,139931,2085,30,1762170,긍정 95%.
63,DALBA-CAMP-25011,iareum_140,2025-04-02,https://instagram.com/p/^RGjipPC9Er,4132205,45403,1357,35,1142470,긍정 76%.
64,DALBA-CAMP-25008,mijeong56_7,2025-03-13,https://instagram.com/p/H5KD@Bxc(@w,3300916,126007,3675,38,1282424,긍정 88%.
65,DALBA-CAMP-25018,sjeon_36,2025-12-01,https://instagram.com/p/#J8RCPOnMYt,3982154,81123,1412,23,748236,긍정 71%.
66,DALBA-CAMP-25012,ri_174,2025-09-08,https://instagram.com/p/p&0cFEZjTiz,277945,16274,302,2,72060,긍정 84%.
67,DALBA-CAMP-25016,eunjeonggim_160,2025-08-29,https://instagram.com/p/@x68bNE4e3E,750794,28172,1115,14,637854,긍정 72%.
68,DALBA-CAMP-25019,caeweoni_105,2025-08-30,https://instagram.com/p/_1pLMn_h125,110366,6244,240,6,209754,긍정 90%.
69,DALBA-CAMP-25013,sangceolgim_95,2025-02-27,https://instagram.com/p/A(atX1cejz9,2822518,105934,4779,135,6375375,긍정 93%.
70,DALBA-CAMP-25014,ksong_94,2025-09-03,https://instagram.com/p/i_k5A$aa85K,2505266,90861,1814,26,1055288,긍정 75%.
71,DALBA-CAMP-25005,mijeong56_7,2025-08-24,https://instagram.com/p/X_W6KodEhox,640745,19699,688,18,621180,긍정 78%.
72,DALBA-CAMP-25009,jihyeongo_91,2025-05-18,https://instagram.com/p/4hu9cWb3)6W,2014381,82354,4062,48,1947984,긍정 80%.
73,DALBA-CAMP-25019,sgim_33,2025-08-20,https://instagram.com/p/V&82DNcUja+,4040789,247487,6902,69,2290800,긍정 91%.
74,DALBA-CAMP-25011,junhyeogu_115,2025-03-22,https://instagram.com/p/tzCDlYks7#7,570156,29712,643,10,307050,긍정 78%.
75,DALBA-CAMP-25014,sangho17_163,2025-10-19,https://instagram.com/p/R78q8%eg^yA,579232,54069,2409,41,1969804,긍정 70%.
76,DALBA-CAMP-25006,sanghonam_29,2025-10-11,https://instagram.com/p/(90N&h!*85Y,1012502,27360,343,6,329172,긍정 74%.
77,DALBA-CAMP-25020,yeongilheo_35,2025-04-15,https://instagram.com/p/%kD(SQuS%2F,4995112,352214,3614,100,3011400,긍정 77%.
78,DALBA-CAMP-25005,minsu38_6,2025-08-30,https://instagram.com/p/i*3k5yZa#!I,1956683,150464,3748,52,1878500,긍정 83%.
79,DALBA-CAMP-25003,gimjiyeon_147,2025-06-16,https://instagram.com/p/$pQ5AZCeHci,3591084,230708,2427,45,1891035,긍정 72%.
80,DALBA-CAMP-25004,nammiyeong_52,2025-02-15,https://instagram.com/p/0wxY2Fsvs@K,3039494,203838,3515,26,945750,긍정 71%.
81,DALBA-CAMP-25019,misug04_184,2025-08-27,https://instagram.com/p/P!k7Bo1a(13,3571045,121276,2465,46,1555950,긍정 87%.
82,DALBA-CAMP-25001,miyeongi_17,2025-08-21,https://instagram.com/p/+Q1*MYsoV2j,814488,65624,1655,27,1541619,긍정 89%.
83,DALBA-CAMP-25008,myeongjayun_137,2025-03-23,https://instagram.com/p/xn2cVY7kw^U,2641547,252134,2858,27,1363500,긍정 89%.
84,DALBA-CAMP-25018,iareum_140,2025-11-11,https://instagram.com/p/!3oiIQQ5pnK,3859050,219208,9243,264,8833704,긍정 91%.
85,DALBA-CAMP-25016,cnam_13,2025-09-06,https://instagram.com/p/f1#ssQTS_2V,1607238,53870,1083,24,943944,긍정 95%.
86,DALBA-CAMP-25002,geonu94_19,2025-05-28,https://instagram.com/p/v1_FSTAk@aC,910471,80414,3970,105,6031200,긍정 81%.
87,DALBA-CAMP-25016,cayeeun_170,2025-08-21,https://instagram.com/p/f^#0P1d7cFy,4312043,398154,17733,463,24093131,긍정 94%.
88,DALBA-CAMP-25009,fgim_66,2025-05-13,https://instagram.com/p/8*8N)FFygs6,1568276,44688,1826,43,2032266,긍정 94%.
89,DALBA-CAMP-25002,yunseo62_167,2025-04-16,https://instagram.com/p/CnRFZa8Q!7y,2944977,87927,3328,46,1595050,긍정 76%.
90,DALBA-CAMP-25012,cnam_13,2025-08-20,https://instagram.com/p/)oCv)ZhF7)U,2772432,86667,3567,46,2687688,긍정 90%.
91,DALBA-CAMP-25018,hyeonju74_190,2025-10-22,https://instagram.com/p/k@A*R0!e4Fm,942568,91169,4009,91,2958046,긍정 89%.
92,DALBA-CAMP-25005,minseog55_164,2025-07-26,https://instagram.com/p/&MCEeQle2Mp,1198697,65178,2909,63,2968119,긍정 83%.
93,DALBA-CAMP-25009,iareum_140,2025-05-16,https://instagram.com/p/IK5Ysfknz^5,1432427,50364,2441,25,777450,긍정 79%.
94,DALBA-CAMP-25013,yeongilyang_188,2025-01-23,https://instagram.com/p/_A)UyOcaY7w,4353086,367795,16415,353,16883990,긍정 94%.
95,DALBA-CAMP-25004,fbag_40,2025-02-12,https://instagram.com/p/k3_0S3uce!!,2741473,62186,720,12,533580,긍정 80%.
96,DALBA-CAMP-25002,ryudoyun_60,2025-06-06,https://instagram.com/p/jq5S0lHc2z_,3885705,193977,3227,94,3017494,긍정 79%.
97,DALBA-CAMP-25005,eunseo04_18,2025-08-07,https://instagram.com/p/T0B#xUVc^61,291443,10597,184,4,177212,긍정 74%.
98,DALBA-CAMP-25016,mijeongcoe_85,2025-09-12,https://instagram.com/p/#_6M6IufFv+,2395653,158683,3555,75,3114525,긍정 91%.
99,DALBA-CAMP-25006,yeongja48_104,2025-10-15,https://instagram.com/p/L1wrLCZg$F),3090359,295948,3483,77,3883726,긍정 89%.
100,DALBA-CAMP-25005,jeongsu80_96,2025-07-16,https://instagram.com/p/tMwjXspT6!0,139548,9838,331,5,292620,긍정 71%.
101,DALBA-CAMP-25011,jeongnam83_69,2025-03-29,https://instagram.com/p/&&@fNhEl9EF,1194251,16292,310,7,406938,긍정 70%.
102,DALBA-CAMP-25012,jeongsu17_153,2025-09-09,https://instagram.com/p/gatBJ_g0@9r,4430825,381983,16538,171,5556987,긍정 90%.
103,DALBA-CAMP-25008,sinjeongho_117,2025-03-10,https://instagram.com/p/_B2SJTEqAB7,599425,39663,458,2,106494,긍정 94%.
104,DALBA-CAMP-25015,eunyeongyun_102,2025-08-25,https://instagram.com/p/X9H)t4Ox^i%,1602655,33341,1008,26,903110,긍정 82%.
105,DALBA-CAMP-25004,eheo_130,2025-02-17,https://instagram.com/p/e47uJPAe(mv,3798244,321069,5641,55,2706000,긍정 90%.
106,DALBA-CAMP-25008,hongmijeong_12,2025-03-18,https://instagram.com/p/9+t8l_ShJ)z,1617133,151592,4614,79,3593947,긍정 87%.
107,DALBA-CAMP-25010,seongsu36_9,2025-04-06,https://instagram.com/p/&dn8U(8sj&d,3875139,166678,3742,91,3026478,긍정 91%.
108,DALBA-CAMP-25017,misug04_184,2025-04-26,https://instagram.com/p/V(67CTSh%yk,4107067,128623,1883,35,1519630,긍정 92%.
109,DALBA-CAMP-25005,sunog58_25,2025-07-26,https://instagram.com/p/t1A6e1g4!zP,4026776,283075,6484,124,5963036,긍정 71%.
110,DALBA-CAMP-25009,ngim_76,2025-06-14,https://instagram.com/p/R7IkVeou*SB,305236,19213,662,15,625425,긍정 87%.
111,DALBA-CAMP-25010,jaehyeoni_92,2025-04-24,https://instagram.com/p/!cJcFcz%2&9,1894359,174138,4618,110,4654980,긍정 88%.
112,DALBA-CAMP-25010,miyeongbag_63,2025-04-21,https://instagram.com/p/&qQtIFaWE2e,2027903,179500,4117,32,1870656,긍정 79%.
113,DALBA-CAMP-25002,bagseonghun_31,2025-04-23,https://instagram.com/p/4!Wb$)Vr^0Q,1550119,143349,4974,86,3627050,긍정 79%.
114,DALBA-CAMP-25002,sgim_33,2025-04-15,https://instagram.com/p/)zwJG@)cE8j,484801,35744,1044,21,1114218,긍정 71%.
115,DALBA-CAMP-25004,jangjihu_77,2025-02-11,https://instagram.com/p/f1+H0tzj3^7,3855385,243876,3931,69,3705093,긍정 79%.
116,DALBA-CAMP-25001,gimjeongsu_32,2025-09-23,https://instagram.com/p/rJvVrQgl(35,79632,2735,93,2,91924,긍정 90%.
117,DALBA-CAMP-25018,ohyeonjun_67,2025-10-27,https://instagram.com/p/ml)7WmDeBJr,4023216,224589,4067,37,1993708,긍정 70%.
118,DALBA-CAMP-25001,junhyeogu_115,2025-08-23,https://instagram.com/p/iZbhpCph!7N,570559,18031,621,8,406472,긍정 77%.
119,DALBA-CAMP-25013,gimbyeongceol_159,2025-03-03,https://instagram.com/p/l8Ob31C!_tA,3949499,123895,1953,55,2774310,긍정 82%.
120,DALBA-CAMP-25010,pjang_182,2025-03-09,https://instagram.com/p/J#0_oeNx^RD,1481457,92140,1775,34,1659710,긍정 71%.
121,DALBA-CAMP-25006,minjaecoe_43,2025-11-08,https://instagram.com/p/+8GTuBbyCnF,4698260,222604,8465,194,8913136,긍정 76%.
122,DALBA-CAMP-25013,gwaghyeonji_15,2025-02-19,https://instagram.com/p/ltQ0QZNyCg(,4369228,210294,3505,48,2171328,긍정 88%.
123,DALBA-CAMP-25016,jgim_14,2025-09-03,https://instagram.com/p/&78Q3BYutmS,2643355,212692,6250,111,4565097,긍정 75%.
124,DALBA-CAMP-25017,jihyeongo_91,2025-04-15,https://instagram.com/p/!(8Rt*xX+wO,4400858,344909,7153,152,6180320,긍정 87%.
125,DALBA-CAMP-25009,jgim_14,2025-05-15,https://instagram.com/p/+6f1Q+31tL2,494984,22216,225,4,173036,긍정 93%.
126,DALBA-CAMP-25012,jeongeunseo_71,2025-08-10,https://instagram.com/p/0eDh%72x#M*,3684894,242776,4953,29,1736201,긍정 72%.
127,DALBA-CAMP-25012,sumin02_70,2025-08-30,https://instagram.com/p/W#0Ehhq44!S,902481,21548,379,7,278642,긍정 89%.
128,DALBA-CAMP-25016,ii_62,2025-09-14,https://instagram.com/p/#nHMwisM_1),3837748,294853,12847,221,8380983,긍정 70%.
129,DALBA-CAMP-25017,jeonghungim_195,2025-04-27,https://instagram.com/p/^#hVeoWvX0+,2200768,27818,1225,10,448880,긍정 77%.
130,DALBA-CAMP-25012,boramseo_186,2025-08-19,https://instagram.com/p/W85EphF_%CX,3053497,49063,889,24,909360,긍정 89%.
131,DALBA-CAMP-25012,eheo_130,2025-08-28,https://instagram.com/p/$&WCyCGdA_2,958706,46576,1807,24,826344,긍정 94%.
132,DALBA-CAMP-25015,byeongceol18_123,2025-08-29,https://instagram.com/p/r0nq$@nE_0B,2051409,30883,620,10,569520,긍정 75%.
133,DALBA-CAMP-25010,sumin73_185,2025-04-09,https://instagram.com/p/@3V3fhdtAMO,897708,9248,429,4,181888,긍정 77%.
134,DALBA-CAMP-25010,jeonghunbag_178,2025-03-13,https://instagram.com/p/DX7(Jcye)$O,4275570,170575,2854,47,1758552,긍정 92%.
135,DALBA-CAMP-25008,jangjihu_77,2025-02-27,https://instagram.com/p/r6RVjJd^&88,4554118,105300,4669,43,1666680,긍정 75%.
136,DALBA-CAMP-25016,jaehobae_192,2025-08-19,https://instagram.com/p/xq8YyC(I&y+,1324667,18115,387,6,275916,긍정 89%.
137,DALBA-CAMP-25004,sunoggim_2,2025-02-28,https://instagram.com/p/t8WPQku9(db,4437296,431516,19956,222,10935054,긍정 73%.
138,DALBA-CAMP-25016,jaehyeon37_118,2025-09-15,https://instagram.com/p/jES&3)Nbp9p,4267942,201321,5839,149,8249832,긍정 92%.
139,DALBA-CAMP-25001,ujinbag_189,2025-08-30,https://instagram.com/p/$0JfMbuT3D$,4529223,426269,11809,247,14373177,긍정 82%.
140,DALBA-CAMP-25006,jeongsu80_96,2025-10-01,https://instagram.com/p/Z$0rcGb*^h%,4122525,188903,3977,68,3557964,긍정 80%.
141,DALBA-CAMP-25010,vgim_11,2025-04-24,https://instagram.com/p/H_Il*#nYK#3,4247390,162525,4863,98,3285058,긍정 77%.
142,DALBA-CAMP-25001,ryuseongsu_134,2025-08-22,https://instagram.com/p/BMS!_mkv_4w,2815727,236958,5874,60,1973640,긍정 87%.
143,DALBA-CAMP-25002,jim_1,2025-04-19,https://instagram.com/p/y^X9!DRyoYB,2049109,95576,2757,42,2280348,긍정 80%.
144,DALBA-CAMP-25019,iminjae_142,2025-09-16,https://instagram.com/p/G(0yThx%Oy+,2115102,193378,1982,29,1019524,긍정 79%.
145,DALBA-CAMP-25005,misug04_184,2025-08-17,https://instagram.com/p/O+2n(qQg$RX,892828,30869,925,17,937159,긍정 72%.
146,DALBA-CAMP-25012,tgim_139,2025-08-22,https://instagram.com/p/P^WOn6Tb#Rc,2689755,48032,1880,44,2462812,긍정 85%.
147,DALBA-CAMP-25006,jimin73_148,2025-11-14,https://instagram.com/p/C+3bvVQuY3D,3447342,338529,10687,171,9914922,긍정 88%.
148,DALBA-CAMP-25001,ii_62,2025-08-23,https://instagram.com/p/(69S7rSYdhI,4192558,149332,7147,122,3786880,긍정 93%.
149,DALBA-CAMP-25013,kjeon_56,2025-02-22,https://instagram.com/p/BvAKbd9_2*0,4315980,217800,2815,41,1891453,긍정 85%.
150,DALBA-CAMP-25013,bagbyeongceol_169,2025-02-16,https://instagram.com/p/%*RrsHj32ty,3296432,49943,1129,16,603760,긍정 84%.
151,DALBA-CAMP-25003,misug04_184,2025-06-13,https://instagram.com/p/(!N^cDs2(+1,863113,57693,2245,37,1163761,긍정 92%.
152,DALBA-CAMP-25010,ai_179,2025-04-11,https://instagram.com/p/(6Z$6+0e1jy,758705,71751,2949,80,3947920,긍정 75%.
153,DALBA-CAMP-25008,gwangsu06_138,2025-03-28,https://instagram.com/p/9fFx%r*K@Hd,3952627,67119,3287,76,3089780,긍정 86%.
154,DALBA-CAMP-25010,gwangsuhong_54,2025-03-15,https://instagram.com/p/%NDnp6erZ1$,297214,24173,769,9,408708,긍정 84%.
155,DALBA-CAMP-25008,tgim_139,2025-03-27,https://instagram.com/p/KdS#lVu!)3G,1840731,141733,4095,59,3026346,긍정 91%.
156,DALBA-CAMP-25005,jeongsiggim_165,2025-08-11,https://instagram.com/p/$9dvOtDR$D0,1577794,67221,1927,35,1917895,긍정 91%.
157,DALBA-CAMP-25017,ksong_94,2025-05-03,https://instagram.com/p/_umSvN5&u70,2385739,160518,3722,82,2919528,긍정 74%.
158,DALBA-CAMP-25008,kjeon_56,2025-03-23,https://instagram.com/p/0SQ^Kj+&!aC,3684363,127237,6085,60,3372360,긍정 85%.
159,DALBA-CAMP-25016,gweonhyeonji_45,2025-09-02,https://instagram.com/p/@!ZGra1LcV4,1271851,109062,1792,21,855036,긍정 83%.
160,DALBA-CAMP-25002,tgim_198,2025-05-25,https://instagram.com/p/u4qZMGjp@3J,352893,28272,1119,20,1192020,긍정 81%.
161,DALBA-CAMP-25007,jimino_128,2025-07-17,https://instagram.com/p/&8gY+H%_!7M,1853335,115712,4086,107,5033601,긍정 76%.
162,DALBA-CAMP-25017,seungmini_86,2025-04-18,https://instagram.com/p/1^3o1UUuF^+,1694239,30904,487,8,435496,긍정 91%.
163,DALBA-CAMP-25001,jgim_14,2025-09-28,https://instagram.com/p/Wj*uIa%Yd!2,2577360,163449,2507,50,2356650,긍정 87%.
164,DALBA-CAMP-25011,sunog58_25,2025-03-05,https://instagram.com/p/)%2xYDbNj+S,50834,4812,89,1,32936,긍정 87%.
165,DALBA-CAMP-25010,jiagim_48,2025-04-19,https://instagram.com/p/*7EYS+qU3+L,4140546,311732,4832,41,1570915,긍정 71%.
166,DALBA-CAMP-25009,seungmin92_38,2025-06-07,https://instagram.com/p/_IHMlt1!d5Q,833405,58966,760,14,567854,긍정 79%.
167,DALBA-CAMP-25006,yeongsigi_177,2025-10-28,https://instagram.com/p/)ivhf8Pqg9*,3478506,82085,3497,42,2503410,긍정 73%.
168,DALBA-CAMP-25007,jimino_128,2025-07-23,https://instagram.com/p/&5z^nOlsj38,4924137,158384,3734,43,1629012,긍정 87%.
169,DALBA-CAMP-25012,igim_114,2025-09-19,https://instagram.com/p/sF9Df9EQa%J,1262574,77846,1336,9,453582,긍정 80%.
170,DALBA-CAMP-25001,cayeeun_170,2025-08-16,https://instagram.com/p/&+MkAwAcM5s,2311093,224841,10859,105,3707550,긍정 86%.
171,DALBA-CAMP-25009,yeongsug59_150,2025-05-01,https://instagram.com/p/8B48TiK7^hA,3635542,66024,2337,24,1051656,긍정 92%.
172,DALBA-CAMP-25009,kbag_49,2025-06-16,https://instagram.com/p/V+gQNV0klU4,472121,7883,156,1,34815,긍정 85%.
173,DALBA-CAMP-25015,hyeonjeonggim_119,2025-08-26,https://instagram.com/p/H5odN5PL$SS,4964545,318261,7570,82,2962086,긍정 77%.
174,DALBA-CAMP-25007,zgim_108,2025-07-30,https://instagram.com/p/A40IowHx&O9,487730,29752,1056,12,404292,긍정 74%.
175,DALBA-CAMP-25017,yeongilyang_188,2025-04-15,https://instagram.com/p/O#_a2maf%KT,98247,7775,120,2,90184,긍정 93%.
176,DALBA-CAMP-25002,jiyeon42_8,2025-04-20,https://instagram.com/p/S91UlXUQ_qV,1503451,39412,1237,6,184536,긍정 78%.
177,DALBA-CAMP-25020,vgim_11,2025-05-18,https://instagram.com/p/lar5MP)g&(5,338851,16261,166,3,164847,긍정 89%.
178,DALBA-CAMP-25006,jseo_158,2025-10-14,https://instagram.com/p/%#MoqWrjU7i,2516367,243706,10957,168,5551560,긍정 73%.
179,DALBA-CAMP-25018,caeweoni_105,2025-12-01,https://instagram.com/p/sqZFi+0w($6,4328374,180286,6961,36,1702440,긍정 75%.
180,DALBA-CAMP-25007,eunjeongi_145,2025-07-20,https://instagram.com/p/i^jPf2rG$w3,2051996,75715,1194,13,587964,긍정 90%.
181,DALBA-CAMP-25016,idoyun_16,2025-09-14,https://instagram.com/p/Vq*5tHrePyi,4279076,400569,4489,83,3340667,긍정 84%.
182,DALBA-CAMP-25013,sumin02_70,2025-02-26,https://instagram.com/p/1@B+bZZsA!8,789258,17398,778,12,669996,긍정 79%.
183,DALBA-CAMP-25009,yeongilyang_188,2025-05-05,https://instagram.com/p/#o9yAdw*u4B,918707,38656,453,2,90008,긍정 76%.
184,DALBA-CAMP-25017,sumin73_185,2025-05-28,https://instagram.com/p/!*kl51!lPLy,1298568,92917,1477,34,1103266,긍정 85%.
185,DALBA-CAMP-25003,gimbyeongceol_159,2025-06-14,https://instagram.com/p/l93zXuBpUR!,121437,11827,336,8,373112,긍정 80%.
